Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,82.680000,83.750000,78.089996,79.029999,71.485992,32536600
2020-03-24,84.900002,90.099998,82.900002,88.430000,79.988701,34363200
2020-03-25,89.239998,95.150002,84.540001,91.730003,82.973694,38111700
2020-03-26,94.080002,98.570000,93.540001,98.120003,88.753716,29826300
2020-03-27,93.190002,94.839996,90.550003,91.129997,82.430977,30041500
2020-03-30,90.650002,94.089996,89.300003,93.500000,84.574730,21656900
2020-03-31,92.050003,94.169998,89.339996,90.029999,81.435966,23379300
2020-04-01,85.099998,86.559998,83.250000,84.360001,76.307205,28029600
2020-04-02,83.510002,87.910004,82.959999,87.510002,79.156517,24018000
2020-04-03,86.000000,87.480003,82.769997,84.050003,76.816818,21199400
2020-04-06,88.989998,90.989998,87.699997,89.459999,81.761261,26820800
2020-04-07,94.449997,94.500000,90.379997,90.639999,82.839699,22563800
2020-04-08,92.099998,94.860001,90.550003,94.300003,86.184738,22903300
2020-04-09,96.919998,104.389999,96.889999,102.760002,93.916687,42055900
2020-04-13,103.110001,103.110001,97.300003,98.190002,89.739967,26911900
2020-04-14,101.019997,102.000000,93.639999,95.500000,87.281464,46151300
2020-04-15,91.150002,92.029999,90.129997,90.790001,82.976791,30118600
2020-04-16,90.230003,90.570000,87.050003,87.330002,79.814575,32449600
2020-04-17,92.000000,95.699997,90.959999,95.180000,86.988991,30191900
2020-04-20,92.470001,94.709999,90.459999,91.709999,83.817627,23679400
2020-04-21,88.620003,91.379997,88.330002,89.050003,81.386536,23035000
2020-04-22,90.690002,91.870003,89.180000,89.339996,81.651566,16662400
2020-04-23,89.739998,91.279999,89.260002,89.389999,81.697289,16638800
2020-04-24,90.639999,91.099998,88.489998,90.709999,82.903687,15809200
2020-04-27,91.940002,95.629997,91.540001,94.620003,86.477188,22870200
2020-04-28,97.809998,98.360001,95.029999,95.290001,87.089554,20238900
2020-04-29,99.080002,99.449997,97.269997,97.860001,89.438362,20462600
2020-04-30,95.599998,96.839996,94.550003,95.760002,87.519089,19127600
2020-05-01,93.500000,93.739998,91.839996,93.250000,85.225082,18547700
2020-05-04,92.019997,92.669998,90.800003,92.139999,84.210625,15725900
2020-05-05,93.650002,94.209999,91.900002,92.000000,84.082680,18064100
2020-05-06,92.160004,92.760002,89.930000,90.269997,82.501534,20978000
2020-05-07,91.339996,92.910004,90.580002,91.209999,83.360664,16771900
2020-05-08,92.800003,94.080002,92.110001,92.699997,84.722420,20487800
2020-05-11,91.110001,91.110001,89.330002,89.970001,82.227364,31907600
2020-05-12,90.150002,90.790001,86.900002,87.029999,79.540375,27962900
2020-05-13,86.379997,86.860001,83.400002,84.029999,76.798546,35451600
2020-05-14,82.720001,88.110001,82.400002,87.519997,79.988205,35152500
2020-05-15,86.849998,87.279999,85.300003,85.900002,78.507629,26099000
2020-05-18,88.690002,91.150002,87.879997,90.449997,82.666054,30504400
2020-05-19,90.050003,91.199997,88.589996,88.669998,81.039238,19597300
2020-05-20,90.709999,92.389999,90.370003,91.330002,83.470306,20552400
2020-05-21,90.269997,91.760002,89.669998,90.169998,82.410149,14621400
2020-05-22,90.010002,90.360001,88.720001,89.470001,81.770386,13557900
2020-05-26,92.889999,97.500000,92.610001,95.820000,87.573936,41233900
2020-05-27,102.070000,102.580002,98.800003,101.370003,92.646309,39402000
2020-05-28,102.940002,102.949997,99.400002,99.860001,91.266251,24713900
2020-05-29,98.660004,99.180000,96.779999,97.309998,88.935699,26526400
2020-06-01,97.750000,99.510002,97.379997,98.599998,90.114700,15176800
2020-06-02,100.279999,100.419998,97.930000,98.930000,90.416283,21195000
2020-06-03,101.580002,104.919998,101.059998,104.269997,95.296722,25941100
2020-06-04,103.820000,106.610001,102.790001,106.440002,97.279999,26784700
2020-06-05,114.930000,115.769997,109.529999,111.230003,101.657784,42231000
2020-06-08,113.410004,114.190002,111.940002,113.449997,103.686722,24881800
2020-06-09,110.650002,111.629997,109.010002,110.540001,101.027145,17031100
2020-06-10,110.459999,110.510002,105.849998,106.059998,96.932701,24913300
2020-06-11,100.029999,101.580002,96.540001,97.209999,88.844299,36259200
2020-06-12,100.709999,101.129997,97.330002,99.870003,91.275391,24856800
2020-06-15,96.419998,101.430000,95.870003,101.250000,92.536613,22153600
2020-06-16,105.370003,105.680000,99.309998,102.059998,93.276917,22193600
2020-06-17,102.529999,102.540001,99.209999,99.480003,90.918961,15639800
2020-06-18,98.669998,100.519997,98.129997,98.940002,90.425438,16591900
2020-06-19,100.529999,100.599998,96.730003,97.809998,89.392670,40371200
2020-06-22,97.250000,97.949997,96.540001,96.750000,88.423889,16216900
2020-06-23,98.970001,99.970001,97.849998,97.930000,89.502350,15381400
2020-06-24,96.750000,96.839996,94.309998,94.660004,86.513756,22919800
2020-06-25,94.349998,98.209999,94.260002,97.959999,89.529755,25743600
2020-06-26,95.110001,95.370003,92.000000,92.589996,84.621895,41896300
2020-06-29,93.400002,94.489998,92.180000,93.000000,84.996605,18499700
2020-06-30,92.830002,94.660004,92.570000,94.059998,85.965385,19137000
2020-07-01,94.889999,95.709999,93.029999,93.260002,85.234238,18755700
2020-07-02,94.739998,94.959999,91.930000,92.660004,85.511086,27845600
2020-07-06,94.430000,95.199997,93.480003,95.000000,87.670555,18625300
2020-07-07,93.820000,94.099998,92.000000,92.320000,85.197319,25757200
2020-07-08,92.290001,93.339996,91.800003,93.300003,86.101715,18762200
2020-07-09,93.519997,94.120003,90.779999,91.279999,84.237579,25600800
2020-07-10,92.000000,96.839996,91.870003,96.269997,88.842583,28954200
2020-07-13,98.730003,99.269997,96.230003,97.650002,90.116104,32079200
2020-07-14,98.370003,99.949997,96.639999,98.209999,90.632904,42731700
2020-07-15,100.889999,101.290001,98.650002,99.730003,92.035622,22508400
2020-07-16,98.779999,101.220001,98.550003,100.010002,92.294037,16886900
2020-07-17,100.000000,100.080002,98.139999,98.160004,90.586761,16137700
2020-07-20,97.430000,98.389999,97.260002,97.300003,89.793114,14458100
2020-07-21,97.709999,100.050003,97.639999,99.410004,91.740318,17798100
2020-07-22,99.650002,100.129997,97.529999,98.690002,91.075859,14271200
2020-07-23,98.500000,99.349998,97.970001,98.980003,91.343513,12870200
2020-07-24,99.599998,99.800003,97.940002,98.279999,90.697487,12744200
2020-07-27,97.510002,97.629997,96.169998,96.900002,89.423965,11959100
2020-07-28,96.500000,97.889999,96.500000,97.320000,89.811569,11754300
2020-07-29,97.070000,99.709999,97.000000,99.680000,91.989487,12743500
2020-07-30,97.540001,97.739998,96.050003,97.019997,89.534714,14834800
2020-07-31,96.480003,96.930000,95.250000,96.639999,89.184029,14535000
2020-08-03,97.019997,97.570000,95.849998,96.099998,88.685684,12962800
2020-08-04,95.910004,95.949997,95.029999,95.550003,88.178116,13366200
2020-08-05,95.870003,98.470001,95.720001,97.209999,89.710052,15260900
2020-08-06,97.580002,98.099998,96.540001,97.239998,89.737724,10482100
2020-08-07,96.930000,99.489998,96.559998,99.379997,91.712631,14743700
2020-08-10,100.110001,102.040001,100.029999,100.639999,92.875412,14989900
2020-08-11,103.860001,106.160004,103.510002,103.820000,95.810066,31518600
2020-08-12,106.160004,106.430000,101.709999,102.940002,94.997955,19240800
2020-08-13,102.000000,103.360001,101.639999,102.370003,94.471947,13598600
2020-08-14,101.500000,103.309998,101.419998,102.410004,94.508858,12134400
2020-08-17,101.500000,102.000000,99.529999,99.709999,92.017166,14988000
2020-08-18,99.910004,99.910004,98.120003,98.320000,90.734421,13246500
2020-08-19,98.919998,100.589996,98.339996,98.550003,90.946671,13533000
2020-08-20,97.260002,98.029999,96.800003,97.370003,89.857689,13672600
2020-08-21,97.269997,98.570000,96.940002,97.320000,89.811569,12228300
2020-08-24,98.449997,100.209999,97.419998,100.059998,92.340157,17898300
2020-08-25,101.269997,101.980003,99.800003,100.500000,92.746216,13648900
2020-08-26,99.940002,100.269997,99.050003,99.089996,91.444992,12052400
2020-08-27,99.000000,102.650002,99.000000,102.349998,94.453484,22163900
2020-08-28,103.139999,103.250000,101.809998,102.769997,94.841080,13756700
2020-08-31,102.120003,102.180000,100.019997,100.190002,92.460152,14219400
2020-09-01,99.550003,100.870003,99.040001,100.139999,92.414001,11595600
2020-09-02,99.949997,101.940002,99.559998,101.650002,93.807503,14475700
2020-09-03,103.320000,104.989998,100.639999,101.330002,93.512192,23281200
2020-09-04,104.050003,105.209999,101.370003,103.519997,95.533218,26325500
2020-09-08,102.980003,103.570000,99.480003,99.919998,92.210960,22108600
2020-09-09,100.800003,101.690002,99.559998,100.870003,93.087677,13434000
2020-09-10,101.400002,102.419998,99.639999,99.830002,92.127922,15922800
2020-09-11,99.970001,101.360001,99.589996,101.070000,93.272247,13784300
2020-09-14,101.510002,103.459999,101.370003,102.470001,94.564224,19017400
2020-09-15,102.730003,102.849998,99.139999,99.279999,91.620361,23683000
2020-09-16,99.430000,101.129997,98.760002,99.699997,92.007927,19270600
2020-09-17,98.699997,99.339996,97.709999,98.559998,90.955879,18290100
2020-09-18,97.889999,99.489998,97.440002,98.349998,90.762108,20121600
2020-09-21,95.199997,96.050003,93.820000,95.309998,87.956627,28378800
2020-09-22,94.959999,95.660004,93.669998,94.269997,86.996880,19257000
2020-09-23,94.779999,95.349998,92.660004,92.739998,85.584923,19952700
2020-09-24,92.320000,94.300003,91.379997,92.660004,85.511086,18366500
2020-09-25,92.050003,93.720001,91.870003,93.470001,86.258606,13293100
2020-09-28,95.059998,96.930000,94.349998,96.160004,88.741074,20894100
2020-09-29,96.029999,96.029999,94.330002,95.349998,87.993538,12848200
2020-09-30,95.349998,97.199997,95.260002,96.269997,88.842583,16400600
2020-10-01,97.120003,97.769997,96.029999,96.970001,89.488564,15778700
2020-10-02,95.250000,98.589996,95.089996,97.889999,90.337593,15149600
2020-10-05,98.320000,99.250000,97.529999,99.040001,92.246986,13871900
2020-10-06,100.070000,100.860001,97.510002,98.019997,91.296944,19220400
2020-10-07,98.959999,100.349998,98.669998,99.730003,92.889664,16358500
2020-10-08,100.510002,101.919998,99.900002,101.779999,94.799049,15659000
2020-10-09,102.000000,102.110001,100.110001,101.199997,94.258842,13689100
2020-10-12,101.099998,103.000000,100.849998,102.440002,95.413780,16058000
2020-10-13,103.000000,103.220001,100.260002,100.779999,93.867630,21697300
2020-10-14,101.029999,101.930000,100.099998,100.220001,93.346046,15204100
2020-10-15,99.099998,101.779999,99.040001,101.720001,94.743156,17171200
2020-10-16,101.410004,102.330002,100.720001,101.510002,94.547569,13275000
2020-10-19,101.599998,101.870003,99.559998,99.800003,92.954849,11725700
2020-10-20,100.309998,101.769997,100.120003,100.370003,93.485764,11257100
2020-10-21,100.360001,100.989998,99.330002,99.370003,92.554352,10730500
2020-10-22,99.320000,103.239998,99.309998,102.879997,95.823593,14837200
2020-10-23,103.500000,104.449997,102.930000,103.809998,96.689819,15087600
2020-10-26,102.650002,102.699997,100.250000,101.239998,94.296082,12410700
2020-10-27,100.510002,100.919998,99.160004,99.330002,92.517090,10391700
2020-10-28,97.500000,98.300003,96.070000,96.540001,89.918442,16389500
2020-10-29,96.120003,97.980003,95.239998,97.169998,90.505241,14208800
2020-10-30,97.910004,98.419998,96.230003,98.040001,91.315567,15194500
2020-11-02,99.389999,100.879997,97.860001,100.250000,93.373985,15011600
2020-11-03,103.019997,104.739998,102.690002,103.410004,96.317253,17482600
2020-11-04,101.000000,102.070000,98.930000,100.250000,93.373985,18886500
